Date,Open,High,Low,Close,Adj Close,Volume
2024-04-02,0.000012,0.000014,0.000009,0.000013,0.000012,3538200
2024-04-03,0.000011,0.000015,0.000010,0.000012,0.000012,5729900
2024-04-04,0.000012,0.000015,0.000009,0.000014,0.000012,7102700
2024-04-05,0.000011,0.000014,0.000009,0.000013,0.000012,5701800
2024-04-06,0.000012,0.000014,0.000010,0.000013,0.000012,5028000
2024-04-09,0.000012,0.000015,0.000010,0.000013,0.000012,9081600
2024-04-10,0.000011,0.000014,0.000009,0.000012,0.000012,7117700
2024-04-11,0.000011,0.000015,0.000010,0.000014,0.000012,11866200
2024-04-12,0.000012,0.000014,0.000009,0.000013,0.000012,6543700
2024-04-13,0.000012,0.000014,0.000009,0.000013,0.000012,8335800
2024-04-16,0.000012,0.000015,0.000010,0.000014,0.000012,5659600
2024-04-17,0.000011,0.000015,0.000010,0.000013,0.000012,7400600
2024-04-18,0.000012,0.000014,0.000009,0.000013,0.000012,7655700
2024-04-19,0.000011,0.000014,0.000010,0.000012,0.000012,7057300
2024-04-20,0.000012,0.000015,0.000009,0.000014,0.000012,11604400
2024-04-23,0.000011,0.000014,0.000010,0.000013,0.000012,10224600
2024-04-24,0.000012,0.000014,0.000009,0.000013,0.000012,6333300
2024-04-25,0.000011,0.000015,0.000010,0.000012,0.000012,6706500
2024-04-26,0.000012,0.000015,0.000009,0.000013,0.000012,12051800
2024-04-27,0.000011,0.000014,0.000010,0.000013,0.000012,11748300
2024-04-30,0.000012,0.000014,0.000009,0.000013,0.000012,13414100
